Node no.,X,Y,Z
669,-1.29481,4.39105,-15.0696
670,-2.32485,3.8406,-15.3073
671,-1.04958,4.25807,-15.7425
672,-1.04108,4.28544,-15.6637
673,-1.05804,4.22466,-15.8145
674,-1.06572,4.18714,-15.8819
675,-1.076,4.15069,-15.9458
676,-1.09147,4.11541,-16.0076
677,-1.11341,4.07791,-16.0692
678,-1.03777,4.30819,-15.5745
679,-1.0967,4.32095,-15.2847
680,-1.07565,4.26432,-15.1928
681,-1.02148,4.29569,-15.4858
682,-1.04655,4.29861,-15.357
683,-1.01383,4.28199,-15.417
684,-0.90336,2.5009,-17.7774
685,-0.89884,2.59221,-17.7263
686,-0.81375,2.49765,-17.8403
687,-0.95241,2.89559,-17.4545
688,-0.91869,2.83328,-17.5363
689,-0.8992,2.76306,-17.6069
690,-0.89464,2.68059,-17.6703
691,-0.88365,2.97536,-17.4227
692,-1.03354,3.26835,-16.9413
693,-1.01032,3.21138,-17.0334
694,-0.97136,3.16911,-17.1201
695,-0.91996,3.13509,-17.2054
696,-0.86386,3.10015,-17.2931
697,-0.81138,3.05074,-17.3898
698,-1.02863,3.62615,-16.5332
699,-1.03453,3.34086,-16.8491
700,-0.96599,3.57119,-16.6231
701,-0.98958,3.49821,-16.6913
702,-1.01664,3.41894,-16.7666
703,-1.15241,3.69433,-16.4155
704,-1.13856,3.79759,-16.3303
705,-1.14149,4.03106,-16.1335
706,-1.1293,3.96037,-16.1973
707,-1.12587,3.88627,-16.2597
708,-1.07094,3.69333,-16.4458
709,-0.96026,2.23189,-17.8533
710,-0.89447,2.31346,-17.8739
711,-0.81608,2.39894,-17.8893
712,-0.7191,2.48821,-17.9018
713,-1.02081,2.15379,-17.8241
714,-1.07414,2.08096,-17.7879
715,-1.14371,2.04224,-17.7227
716,-1.37764,1.92388,-17.4545
717,-1.22997,2.00481,-17.6329
718,-1.3075,1.9575,-17.543
719,-1.37534,1.8266,-17.4428
720,-2.2317,3.63344,-15.5707
721,-2.255,3.68691,-15.5178
722,-2.22588,3.52149,-15.5967
723,-2.23542,3.56784,-15.54
724,-2.27334,3.27425,-15.751
725,-2.25777,3.33754,-15.6909
726,-2.2505,3.39595,-15.621
727,-2.24615,3.452,-15.5587
728,-2.37108,3.13734,-15.6851
729,-2.33705,3.20409,-15.6423
730,-2.42834,3.09228,-15.5759
731,-2.47065,3.03476,-15.6013
732,-2.51512,2.97787,-15.6373
733,-2.57221,2.94881,-15.5781
734,-2.63624,2.91822,-15.5389
735,-2.70548,2.88442,-15.5222
736,-2.27044,3.67631,-15.4297
737,-2.27938,3.68246,-15.3336
738,-2.30154,3.76022,-15.2655
